name,dtype,non_null,missing,missing_share,unique,is_numeric,min,max,mean,std
client_id,int64,3000,0,0.0,3000,True,1.0,3000.0,1500.5,866.1697293256098
age,int64,3000,0,0.0,49,True,21.0,69.0,45.059666666666665,14.192882695044277
income,int64,3000,0,0.0,2924,True,15000.0,156351.0,69658.992,24742.235181672608
years_employed,int64,3000,0,0.0,40,True,0.0,39.0,19.577666666666666,11.38149729674414
credit_score,int64,3000,0,0.0,360,True,402.0,850.0,649.2853333333334,69.95585173488257
debt_to_income,float64,3000,0,0.0,3000,True,0.0061471149847966,0.878343349584274,0.2840648221675319,0.1611124426067934
num_credit_cards,int64,3000,0,0.0,8,True,0.0,7.0,3.494666666666667,2.2899169116024503
num_late_payments,int64,3000,0,0.0,15,True,0.0,14.0,6.8693333333333335,4.2912777324569955
has_mortgage,int64,3000,0,0.0,2,True,0.0,1.0,0.495,0.5000583493796114
has_car_loan,int64,3000,0,0.0,2,True,0.0,1.0,0.5013333333333333,0.5000815760951461
savings_balance,int64,3000,0,0.0,2652,True,0.0,75237.0,20607.256666666668,14035.20973880546
checking_balance,int64,3000,0,0.0,2485,True,-3000.0,29335.0,5559.684333333334,6306.032612331662
region_risk_score,float64,3000,0,0.0,3000,True,0.0011480532639611,0.9617329449691724,0.4001749955994028,0.20452893116243545
phone_calls_to_support_last_3m,int64,3000,0,0.0,20,True,0.0,19.0,9.524666666666667,5.779030249020613
active_loans,int64,3000,0,0.0,5,True,0.0,4.0,1.9763333333333333,1.4086996487738994
customer_tenure_years,int64,3000,0,0.0,15,True,0.0,14.0,6.968666666666667,4.349941634048526
default,int64,3000,0,0.0,2,True,0.0,1.0,0.4103333333333333,0.4919761875117349
