,id,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,target
id,1.0,0.008557742027533573,0.008405571495080331,-0.001994071217107116,0.0010812613056844418,-0.0198640886795296,-0.0032749953899047757,0.007778052123339828,-0.001065168868441323,0.004753489911462495,0.007090163060988852,-0.013046511545798705,-0.016449326614782794,0.005016667624142908,0.007975953912149723,0.006598776303897276,0.00412940039528495,-0.00599090096449627,0.008801616359056758,-0.0061189877842507704,0.01486287227179105,0.005995509899985363,-0.011185615906668627,0.003306867912593066,0.0018532024113201268,-0.0012968225559426743,0.015653500776000324,-0.011335348564529538,0.0059875281359429025,-0.014924731709599117
f01,0.008557742027533573,1.0,-0.004946807740143875,-0.3476888058186459,0.0020623810727383477,0.13087796525339573,-0.23672885722286136,0.009630802754130495,-0.010455401992950324,-0.0008708018223015978,0.014152436022221736,-0.3916526873402977,0.022666903626581435,0.255352633247556,0.003019981417673782,-0.11091773678965508,0.007456800609873436,0.1814238247503497,-0.10523443617630265,0.004629028038036928,0.0017741542157089624,0.004967497454923137,-0.18434792494413854,-0.013442684800512816,-0.0012066081568625536,-0.3779980283694227,0.0030702090431492944,-0.19351405924352175,0.07466582554399707,0.1509729102499585
f02,0.008405571495080331,-0.004946807740143875,1.0,-0.02191819954580086,-0.0134316679092427,0.016944134789437234,-0.01482321506280791,0.01932504128669868,0.020154825209018883,-0.02048193038314704,-0.0035455234042459315,0.011843282360167254,0.00228005352397317,-0.0013204208910815303,-0.0051857373236962575,0.0022750719213827826,0.0024869266053987133,-0.0077671469074280875,-0.013923343468845257,-0.011333241070169727,-0.003654451446776352,0.002118346071900512,0.019879958392581054,0.0011751531631686205,-0.006810168146018659,0.017946197001400432,-0.004078382957930392,0.005701127110142959,-0.017661569370728984,-0.008259043346047773
f03,-0.001994071217107116,-0.3476888058186459,-0.02191819954580086,1.0,0.007865239130086625,-0.2762460874391632,0.5964097702385377,-0.6313217949811386,0.01160241213408309,0.004137369397170185,0.05836161840264684,-0.0033828126896852965,0.22293043525843054,-0.3941611423665024,0.006595719768741543,-0.08286403948441701,0.0005383264714639808,0.027583085462908573,0.41769268015898003,-0.0008836732068421634,-0.00411868506732386,0.001278513088604449,-0.5060442252562625,-0.004303683042765753,-0.0017171453135251184,-0.32549859819517496,0.004436845690101431,0.1442811203944691,0.6012120074860418,0.19370416563251455
f04,0.0010812613056844418,0.0020623810727383477,-0.0134316679092427,0.007865239130086625,1.0,0.0006135019919987966,0.008884334198199687,-0.002943322232849927,-0.0015094863586622887,-0.0007620267558552437,-2.376948157044286e-05,-0.0031149147898783735,-0.0034621206282678674,-0.012130048129375301,-0.011656429663045588,0.003398578465830457,0.0007183695613327129,-0.014210602003685076,-0.008450086878098582,0.013463287728762402,-0.019621944569618792,-0.008174640125733056,0.001966367586126683,0.0009339095925199241,-0.011742577100442447,-0.0030697850819443803,0.009039423228495302,-0.00336537458859254,0.012152586711810047,0.01481444405100814
f05,-0.0198640886795296,0.13087796525339573,0.016944134789437234,-0.2762460874391632,0.0006135019919987966,1.0,-0.5495169374920246,0.15030784454790624,0.003551885419242852,0.0015759060409671667,-0.17272910307587805,0.36152805908045993,0.0806334070021612,-0.23361315076296188,-0.01770275646553644,-0.03402901135547163,0.0140556209317016,0.11616997116059617,-0.09270804083757067,-0.013092177065468362,0.014386014856790778,-0.009774564006467904,0.3467749023520892,0.011801240636959219,0.008504488053303092,-0.015592087130099679,0.01499790951032394,0.31338265070397214,-0.24916271881165894,0.2671339037694158
f06,-0.0032749953899047757,-0.23672885722286136,-0.01482321506280791,0.5964097702385377,0.008884334198199687,-0.5495169374920246,1.0,-0.5990231350844405,-0.0023841642271458133,0.0032142172195507826,0.3252657153069522,-0.13351875260993015,0.18775294130968054,0.01997391743792849,0.010227681615972572,-0.12216471627908958,-0.014527996759205977,0.08026185047102673,-0.2832645148631925,0.005457182360849168,-0.006780946233524347,-0.0026130369743034856,-0.18551544911021275,-0.010774723589855933,-0.00723041170487567,-0.13299863025831823,0.0037151591742648165,0.02797625193930792,0.40453832098566045,0.00835539293282942
f07,0.007778052123339828,0.009630802754130495,0.01932504128669868,-0.6313217949811386,-0.002943322232849927,0.15030784454790624,-0.5990231350844405,1.0,0.004333087072085654,-0.0015730574836961416,-0.03320845080152404,0.35680752807343524,-0.22620492174609685,-0.05930150608465205,0.0044699341975757536,-0.048962149041234554,-0.0033521376575757146,-0.117774666248053,-0.12328895257630469,-0.005885774404060595,0.000678371843084049,0.003475499524128947,0.2699615235025437,0.0025704732820672057,0.009072706260903394,0.37434286537425315,0.00017050413498306038,0.19420113095039834,-0.21525093220805078,0.004592771370907917
f08,-0.001065168868441323,-0.010455401992950324,0.020154825209018883,0.01160241213408309,-0.0015094863586622887,0.003551885419242852,-0.0023841642271458133,0.004333087072085654,1.0,0.005263893686313915,-0.00644660979936558,0.004630983253306047,-0.0035629707987313306,-0.012157201773339607,-0.0037649032003992467,-0.013263942339028697,-0.013286894794530492,-0.005643407614112868,0.01399206443152993,0.01096638147962182,-0.01346655717795941,-0.005052529817908223,0.002457861095818774,-0.0004828960703691065,0.0023582266183949747,-0.005961238826263113,0.007161411721700722,0.0023924884021380853,0.009412312709802369,-0.003910688867698786
f09,0.004753489911462495,-0.0008708018223015978,-0.02048193038314704,0.004137369397170185,-0.0007620267558552437,0.0015759060409671667,0.0032142172195507826,-0.0015730574836961416,0.005263893686313915,1.0,-0.002345569668648927,-0.005989289469843428,-0.0012296326868731946,0.005549232733791083,0.005692560566788277,-0.007846700278692038,-0.0067606285551094925,-0.005051697855972204,0.0037984616662871135,0.01021041037859745,-0.0028584998965808656,0.006505794869752626,0.004324692159074205,-0.003917145386587929,-0.0001371454985383385,-0.004695670184878408,0.003504758153938104,0.0015888135568988397,0.01056931919149384,0.005426089799756868
